N,Stride,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE,Scalar_Stdev,SIMD_Stdev
1024,1,SAXPY,1.8963,3.41333,1.8,3.16406,1.75781,8.10925e-07,3.63643e-15
1024,1,Dot,0.975238,0.984615,1.00962,6.15234,6.09375,5.10689e-15,4e-08
1024,1,Multiply,1.65161,1.65161,1,1.81641,1.81641,4e-08,4e-08
1024,2,SAXPY,1.16364,1.24878,1.07317,5.15625,4.80469,7.48331e-08,4e-08
1024,2,Dot,0.812698,0.853333,1.05,7.38281,7.03125,4.89898e-08,7.27287e-15
1024,2,Multiply,0.673684,0.711111,1.05556,4.45312,4.21875,4.89898e-08,4e-08
1024,4,SAXPY,0.853333,0.853333,1,7.03125,7.03125,3.63643e-15,3.63643e-15
1024,4,Dot,0.62439,0.609524,0.97619,9.60938,9.84375,4e-08,4.89898e-08
1024,4,Multiply,0.426667,0.441379,1.03448,7.03125,6.79687,3.63643e-15,4e-08
1024,8,SAXPY,0.32,0.492308,1.53846,18.75,12.1875,6e-07,4e-08
1024,8,Dot,0.426667,0.4,0.9375,14.0625,15,3.63643e-15,4.89898e-08
1024,8,Multiply,0.237037,0.237037,1,12.6562,12.6562,4.89898e-08,4.89898e-08
32768,1,SAXPY,7.00171,8.40205,1.2,0.856934,0.714111,3.12e-06,-nan
32768,1,Dot,1.2356,1.17955,0.954644,4.85596,5.08667,4.89898e-08,5.07015e-06
32768,1,Multiply,3.76644,4.04543,1.07407,0.796509,0.741577,7.50999e-07,6.32456e-08
32768,2,SAXPY,2.17294,2.18162,1.00399,2.76123,2.75024,1.6e-07,4e-08
32768,2,Dot,1.14573,1.2236,1.06796,5.23682,4.90356,3.70027e-06,4e-08
32768,2,Multiply,1.04224,1.07931,1.03557,2.87842,2.77954,9.04212e-07,4e-08
32768,4,SAXPY,1.77701,1.73559,0.976695,3.37646,3.45703,6.4e-07,4.89898e-08
32768,4,Dot,1.20471,1.20471,1,4.98047,4.98047,-nan,-nan
32768,4,Multiply,0.869639,0.908204,1.04435,3.44971,3.30322,1.04e-06,4e-08
32768,8,SAXPY,1.67184,1.37912,0.824916,3.58887,4.35059,1.54919e-07,4.89898e-08
32768,8,Dot,1.16364,0.842798,0.72428,5.15625,7.11914,4.89898e-08,5.39014e-06
32768,8,Multiply,0.644025,0.660645,1.02581,4.6582,4.54102,3.72022e-07,-nan
1048576,1,SAXPY,4.82193,5.94465,1.23284,1.24432,1.00931,5.76531e-05,6.35923e-05
1048576,1,Dot,1.15305,1.17732,1.02104,5.20357,5.09634,0.000101918,1.55322e-05
1048576,1,Multiply,1.77845,1.7816,1.00177,1.68686,1.68388,8.32183e-05,8.01942e-05
1048576,2,SAXPY,1.87313,1.91241,1.02097,3.2032,3.1374,4.83295e-05,3.18887e-05
1048576,2,Dot,1.19221,1.19008,0.998207,5.03265,5.04169,1.23482e-05,1.2666e-05
1048576,2,Multiply,0.79375,0.869524,1.09546,3.77953,3.45016,5.56026e-05,8.2496e-05
1048576,4,SAXPY,1.26426,1.2529,0.991015,4.74586,4.78889,5.59018e-05,7.18809e-05
1048576,4,Dot,1.15451,1.1927,1.03308,5.19699,5.03059,2.66468e-05,5.17432e-06
1048576,4,Multiply,0.530484,0.52809,0.995488,5.65521,5.68085,9.07519e-05,5.80815e-05
1048576,8,SAXPY,0.823834,0.770785,0.935607,7.28302,7.78427,5.82585e-05,6.2212e-05
1048576,8,Dot,0.658422,0.705789,1.07194,9.1127,8.50113,3.36861e-05,3.94076e-06
1048576,8,Multiply,0.243955,0.244009,1.00022,12.2974,12.2946,0.000133749,3.56237e-05
16777216,1,SAXPY,3.50686,3.56465,1.01648,1.71093,1.68319,0.000194893,9.30778e-05
16777216,1,Dot,1.17516,1.17735,1.00186,5.10568,5.0962,0.000155146,0.000194162
16777216,1,Multiply,1.25073,1.25116,1.00034,2.3986,2.39778,0.000184418,0.000187681
16777216,2,SAXPY,1.56712,1.62797,1.03883,3.82869,3.68556,0.000250368,0.000268046
16777216,2,Dot,1.06136,1.11854,1.05388,5.65312,5.36412,0.000346197,0.000186633
16777216,2,Multiply,0.662283,0.653593,0.986879,4.52979,4.59001,0.000454347,0.000506736
16777216,4,SAXPY,0.891521,0.89597,1.00499,6.73007,6.69665,0.000217073,0.000191319
16777216,4,Dot,0.957315,0.987978,1.03203,6.26753,6.07301,0.000146506,7.42553e-05
16777216,4,Multiply,0.34257,0.345113,1.00742,8.75733,8.6928,0.00013249,0.000320866
16777216,8,SAXPY,0.402108,0.393127,0.977664,14.9214,15.2622,0.000477262,0.000328627
16777216,8,Dot,0.420591,0.41498,0.986659,14.2656,14.4585,0.00028211,0.000447935
16777216,8,Multiply,0.159417,0.136401,0.855626,18.8186,21.994,0.000351436,0.000695961
