N,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE
1024,SAXPY,3.10303,3.53103,1.13793,1.93359,1.69922
1024,Dot,1.21905,1.21905,1,4.92187,4.92187
1024,Multiply,4.65455,4.65455,1,0.644531,0.644531
32768,SAXPY,4.4765,4.5011,1.00549,1.34033,1.33301
32768,Dot,1.24593,1.24593,1,4.81567,4.81567
32768,Multiply,6.27739,7.00171,1.11538,0.477905,0.428467
1048576,SAXPY,3.64671,4.06488,1.11467,1.64532,1.47606
1048576,Dot,1.20631,1.2027,0.997006,4.97383,4.98877
1048576,Multiply,5.75508,5.7958,1.00707,0.521278,0.517616
16777216,SAXPY,3.59475,3.60226,1.00209,1.6691,1.66562
16777216,Dot,1.18279,1.19437,1.00979,5.07277,5.02359
16777216,Multiply,5.01723,5.05344,1.00722,0.597939,0.593655
