bytes,pattern,strideB,ns_per_access,cycles_per_access
4096,chase,64,4.10156,10.2539
8192,chase,64,4.03442,10.0861
16384,chase,64,4.02222,10.0555
32768,chase,64,4.02374,10.0594
57344,chase,64,5.66755,14.1689
110592,chase,64,5.71877,14.2969
212992,chase,64,5.74857,14.3714
409600,chase,64,5.66101,14.1525
786432,chase,64,5.66533,14.1633
1511424,chase,64,6.45593,16.1398
2912256,chase,64,6.01281,15.032
5619712,chase,64,5.97818,14.9455
10829824,chase,64,6.016,15.04
20885504,chase,64,7.09928,17.7482
40271872,chase,64,8.5007,21.2517
77656064,chase,64,8.86793,22.1698
149741568,chase,64,8.9322,22.3305
288755712,chase,64,8.8786,22.1965
556818432,chase,64,8.95064,22.3766
1073741824,chase,64,8.96762,22.419
